,apart_id,palabras_comunes
81,-7009088269730530518,"{'saori': 20, 'lugar': 19, 'casa': 19, 'bien': 13, 'cerca': 12, 'zona': 12, 'limpio': 11, 'buena': 11, 'amable': 10, 'madrid': 10}"
82,-6985346805120418946,"{'lugar': 46, 'casa': 43, 'bien': 33, 'pedro': 30, 'bungalow': 29, 'jardín': 22, 'tranquilo': 19, 'alojamiento': 18, 'oporto': 18, 'acogedor': 17}"
83,-6905956863545861596,"{'laura': 114, 'cabaña': 55, 'lugar': 49, 'naturaleza': 47, 'anfitriona': 39, 'sitio': 31, 'gracias': 30, 'desconectar': 27, 'vistas': 27, 'atenta': 27}"
84,-6878263978848072247,"{'apartamento': 70, 'bien': 55, 'vistas': 41, 'agradable': 25, 'kerstin': 24, 'ubicación': 23, 'vista': 20, 'restaurantes': 20, 'equipado': 19, 'situado': 18}"
85,-6871326110400269516,"{'villa': 23, 'bien': 14, 'vacaciones': 14, 'piscina': 13, 'casa': 12, 'personas': 12, 'agradable': 11, 'lugar': 11, 'playa': 9, '2': 9}"
86,-6844547001802729180,"{'pantxo': 70, 'casa': 58, 'desayuno': 35, 'consejos': 31, 'zona': 26, 'lugar': 25, 'anfitrión': 22, 'bien': 22, 'buenos': 17, 'gran': 17}"
87,-6813789254903348513,"{'casa': 48, 'vistas': 40, 'jennifer': 37, 'calpe': 31, 'playa': 28, 'apartamento': 26, 'terraza': 24, 'lugar': 24, 'bien': 23, 'vista': 19}"
88,-6799727699588711552,"{'bien': 24, 'annick': 24, 'casa': 21, 'vistas': 17, 'buena': 11, 'gran': 10, 'amable': 10, 'alojamiento': 9, 'equipado': 9, 'excelente': 9}"
89,-6798491501605794097,"{'françoise': 4, 'lugar': 4, 'naturaleza': 4, 'remanso': 3, 'paz': 3, 'perfecto': 3, 'gran': 3, 'caravana': 3, 'entorno': 2, 'parte': 2}"
90,-6669647486923420516,"{'karina': 13, 'casa': 7, 'casita': 4, 'lugar': 4, 'agradable': 3, 'propiedad': 3, 'siempre': 3, 'marido': 2, 'julián': 2, 'propia': 2}"
91,-6650050512063221056,"{'casa': 32, 'juana': 11, 'semana': 11, 'jardín': 10, 'bien': 9, 'niños': 7, 'pasar': 6, 'amigos': 6, 'fin': 6, 'pasado': 6}"
92,-6641881689618050549,"{'apartamento': 31, 'lina': 19, 'playa': 13, 'vistas': 12, 'vista': 11, 'ubicación': 11, 'piscinas': 9, 'bien': 8, 'mar': 8, 'piscina': 7}"
